                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1801,                 2.4555,                 1.2285,                0.86648,                0.84989,                0.92376,                0.54229,                  1.337,                 1.2692,                 1.3355,             0.00032971,             0.00032971,             0.00032971
                      2,                 1.1175,                 1.1041,                 1.1837,                0.93744,                 0.8885,                0.95449,                0.58765,                 1.3283,                0.87326,                 1.3756,             0.00065648,             0.00065648,             0.00065648
                      3,                 1.1062,                 1.0318,                 1.2019,                0.80677,                0.89723,                0.91437,                0.54437,                   1.35,                 1.1139,                 1.4342,             0.00097665,             0.00097665,             0.00097665
                      4,                 1.0989,                0.98462,                 1.1904,                0.92951,                0.94063,                0.96189,                0.54746,                  1.356,                0.83465,                 1.3135,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.1032,                0.93723,                 1.1945,                0.91001,                0.90488,                0.94862,                0.60502,                 1.2041,                0.81694,                 1.2498,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.0488,                0.86269,                 1.1579,                 0.9446,                0.96668,                0.97788,                0.64807,                  1.154,                0.70233,                 1.2932,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.0389,                0.81338,                 1.1469,                0.93294,                0.93599,                0.98077,                 0.6398,                 1.1902,                0.68845,                 1.3082,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.0171,                0.77058,                 1.1463,                0.96163,                0.98802,                0.98535,                0.65956,                 1.1409,                0.59618,                 1.2144,              0.0009307,              0.0009307,              0.0009307
                      9,                0.99003,                0.73837,                 1.1247,                0.94614,                0.98023,                0.97857,                0.64962,                  1.119,                0.61992,                 1.2312,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.0059,                0.73942,                 1.1308,                0.96393,                 0.9731,                0.98608,                0.67702,                 1.0697,                 0.5695,                 1.1572,              0.0009109,              0.0009109,              0.0009109
                     11,                0.95962,                0.70998,                 1.1291,                0.96339,                0.97442,                0.98341,                0.66236,                 1.0855,                0.61816,                 1.1969,               0.000901,               0.000901,               0.000901
                     12,                0.93626,                0.67419,                 1.0987,                0.97842,                0.95858,                0.98716,                0.64162,                 1.1437,                0.60096,                 1.2303,              0.0008911,              0.0008911,              0.0008911
                     13,                0.95312,                0.66933,                 1.1018,                0.97289,                0.98827,                0.99102,                0.68863,                  1.088,                0.53271,                 1.1992,              0.0008812,              0.0008812,              0.0008812
                     14,                0.94118,                0.65168,                 1.1047,                0.94423,                 0.9679,                0.98423,                0.69984,                 1.0328,                0.54361,                 1.1364,              0.0008713,              0.0008713,              0.0008713
                     15,                0.91139,                0.62264,                 1.0976,                0.96554,                0.98449,                 0.9898,                0.68662,                 1.0774,                0.56135,                 1.1559,              0.0008614,              0.0008614,              0.0008614
                     16,                0.91482,                0.62189,                 1.0941,                0.97552,                0.97822,                0.98565,                0.68368,                 1.0554,                0.52437,                 1.1539,              0.0008515,              0.0008515,              0.0008515
                     17,                0.91779,                0.60766,                 1.0916,                 0.9766,                 0.9786,                0.98648,                0.67824,                 1.1171,                0.53145,                 1.1659,              0.0008416,              0.0008416,              0.0008416
                     18,                0.88562,                0.58795,                 1.0775,                0.95867,                0.98025,                0.97286,                0.67086,                 1.1173,                0.56589,                 1.1919,              0.0008317,              0.0008317,              0.0008317
                     19,                0.90928,                0.59901,                 1.0819,                0.97896,                0.98383,                0.98591,                0.70416,                 1.0222,                0.50335,                 1.1323,              0.0008218,              0.0008218,              0.0008218
                     20,                0.87657,                0.56744,                 1.0722,                0.94363,                0.97154,                0.97805,                0.68646,                 1.0367,                0.56475,                  1.152,              0.0008119,              0.0008119,              0.0008119
                     21,                0.88863,                0.56537,                 1.0632,                0.96704,                0.97532,                0.98796,                0.70339,                 1.0207,                0.50039,                 1.1363,               0.000802,               0.000802,               0.000802
                     22,                0.87401,                0.56058,                 1.0829,                0.98024,                0.98832,                0.98586,                0.70811,                 1.0241,                0.50329,                 1.1257,              0.0007921,              0.0007921,              0.0007921
                     23,                0.85193,                0.54148,                 1.0566,                0.97664,                0.97891,                0.98715,                0.70214,                  1.023,                0.49806,                 1.1448,              0.0007822,              0.0007822,              0.0007822
                     24,                0.85232,                0.54224,                 1.0686,                0.98601,                0.98124,                0.98952,                 0.7061,                 1.0186,                0.45266,                 1.1211,              0.0007723,              0.0007723,              0.0007723
                     25,                0.85444,                0.52592,                 1.0562,                0.97788,                0.99183,                0.98705,                0.71787,                 1.0122,                0.47089,                 1.1253,              0.0007624,              0.0007624,              0.0007624
                     26,                0.84516,                0.52867,                 1.0563,                0.98472,                0.98615,                0.99119,                0.70716,                 1.0363,                0.46254,                  1.131,              0.0007525,              0.0007525,              0.0007525
                     27,                0.85074,                0.52717,                 1.0576,                0.98318,                0.98687,                0.98696,                 0.7123,                 1.0388,                0.44594,                  1.151,              0.0007426,              0.0007426,              0.0007426
                     28,                0.82751,                0.52187,                 1.0514,                0.98302,                0.97662,                0.98773,                0.70607,                 1.0223,                0.48818,                  1.138,              0.0007327,              0.0007327,              0.0007327
                     29,                0.82265,                 0.5173,                  1.052,                0.97052,                0.98518,                0.98664,                 0.7112,                 1.0151,                0.45773,                  1.116,              0.0007228,              0.0007228,              0.0007228
                     30,                0.82078,                0.49523,                 1.0448,                0.97941,                0.98234,                0.98809,                 0.7254,                0.99546,                0.45142,                 1.1242,              0.0007129,              0.0007129,              0.0007129
                     31,                0.81013,                0.50426,                 1.0355,                0.98476,                0.98267,                0.98859,                0.72033,                 1.0016,                0.44997,                 1.1123,               0.000703,               0.000703,               0.000703
                     32,                0.79781,                0.49022,                 1.0433,                0.97782,                0.98918,                0.98972,                0.71076,                 1.0331,                0.44507,                 1.1367,              0.0006931,              0.0006931,              0.0006931
                     33,                0.82114,                0.48958,                 1.0412,                0.97753,                0.98916,                0.98857,                 0.7321,                0.98134,                0.43609,                 1.1223,              0.0006832,              0.0006832,              0.0006832
                     34,                 0.8041,                0.49703,                 1.0347,                0.97798,                0.99305,                0.98237,                0.71671,                0.99532,                0.45269,                 1.1026,              0.0006733,              0.0006733,              0.0006733
                     35,                0.78562,                0.48006,                 1.0282,                0.98231,                 0.9822,                 0.9898,                0.72184,                 1.0076,                0.44418,                 1.1198,              0.0006634,              0.0006634,              0.0006634
                     36,                0.78835,                0.47751,                 1.0263,                0.98105,                0.99134,                0.98569,                0.70755,                 1.0048,                 0.4422,                 1.1286,              0.0006535,              0.0006535,              0.0006535
                     37,                0.79327,                0.47954,                 1.0323,                0.97863,                0.98521,                 0.9893,                0.72046,                0.99596,                0.44253,                 1.1152,              0.0006436,              0.0006436,              0.0006436
                     38,                0.78166,                0.46757,                 1.0266,                0.98161,                0.99109,                0.98779,                0.71966,                0.99346,                0.44161,                 1.1167,              0.0006337,              0.0006337,              0.0006337
                     39,                0.76919,                0.46351,                 1.0186,                0.98505,                 0.9828,                0.98957,                0.73739,                0.97876,                0.41994,                 1.1169,              0.0006238,              0.0006238,              0.0006238
                     40,                0.77112,                0.46281,                 1.0182,                0.98261,                0.98867,                 0.9906,                 0.7362,                0.97485,                0.42254,                 1.1065,              0.0006139,              0.0006139,              0.0006139
                     41,                0.75867,                0.45289,                 1.0183,                0.98449,                0.97762,                0.98874,                0.73008,                0.99158,                0.43209,                 1.1027,               0.000604,               0.000604,               0.000604
                     42,                0.76259,                0.45012,                 1.0164,                0.98375,                0.98918,                 0.9826,                0.73181,                0.97875,                0.42542,                 1.1148,              0.0005941,              0.0005941,              0.0005941
                     43,                 0.7508,                0.44232,                 1.0162,                0.98553,                0.98455,                0.98313,                0.71969,                0.99217,                0.41651,                 1.1207,              0.0005842,              0.0005842,              0.0005842
                     44,                0.73721,                0.43606,                 1.0093,                0.98481,                0.98756,                0.98276,                0.73107,                0.98251,                0.43902,                 1.1195,              0.0005743,              0.0005743,              0.0005743
                     45,                 0.7379,                0.43396,                 1.0112,                0.98373,                0.98577,                0.98941,                0.73752,                 0.9923,                0.41539,                 1.1111,              0.0005644,              0.0005644,              0.0005644
                     46,                 0.7475,                0.43875,                 1.0045,                0.98498,                0.98463,                0.98815,                0.72607,                0.99276,                0.42806,                  1.107,              0.0005545,              0.0005545,              0.0005545
                     47,                0.72307,                0.42741,                0.99498,                0.98251,                 0.9926,                0.98896,                0.73722,                0.96687,                0.42433,                 1.1133,              0.0005446,              0.0005446,              0.0005446
                     48,                0.71068,                0.41617,                 0.9972,                0.98397,                0.98802,                0.98863,                0.74087,                0.98222,                0.42224,                 1.0943,              0.0005347,              0.0005347,              0.0005347
                     49,                0.72215,                 0.4209,                0.99164,                0.97352,                0.98543,                0.99002,                0.73678,                0.96542,                0.41614,                 1.0942,              0.0005248,              0.0005248,              0.0005248
                     50,                0.72007,                 0.4266,                0.99463,                0.98445,                0.98574,                0.98832,                 0.7458,                0.95932,                0.40542,                 1.0951,              0.0005149,              0.0005149,              0.0005149
                     51,                0.70829,                0.41494,                0.99419,                0.98295,                0.98918,                0.98978,                0.73888,                0.96977,                0.40417,                    1.1,               0.000505,               0.000505,               0.000505
                     52,                0.69144,                0.41656,                0.98586,                0.98186,                0.98918,                0.98603,                 0.7389,                0.96436,                0.39416,                 1.0897,              0.0004951,              0.0004951,              0.0004951
                     53,                0.71104,                0.41153,                0.99235,                0.98412,                0.98918,                0.98781,                0.74028,                0.96512,                0.40192,                 1.0925,              0.0004852,              0.0004852,              0.0004852
                     54,                0.70208,                0.41639,                0.98376,                0.98044,                0.98853,                0.98763,                0.73914,                0.95932,                0.41383,                 1.1008,              0.0004753,              0.0004753,              0.0004753
                     55,                0.68445,                0.40497,                 0.9824,                0.98157,                0.98049,                0.98804,                0.73782,                0.98179,                0.41873,                 1.1042,              0.0004654,              0.0004654,              0.0004654
                     56,                0.69834,                0.41214,                0.98686,                0.97724,                0.99096,                0.98623,                0.73621,                0.96902,                0.41638,                 1.1007,              0.0004555,              0.0004555,              0.0004555
                     57,                0.69122,                0.41031,                0.97934,                0.97831,                0.99157,                0.98883,                0.73957,                0.96264,                0.40368,                 1.0893,              0.0004456,              0.0004456,              0.0004456
                     58,                0.68539,                0.39347,                0.98104,                0.97915,                0.99305,                0.99018,                  0.733,                0.99719,                0.41883,                 1.1123,              0.0004357,              0.0004357,              0.0004357
                     59,                0.68855,                 0.3973,                0.98131,                0.98411,                0.99037,                0.98857,                 0.7324,                0.97925,                0.41021,                 1.0892,              0.0004258,              0.0004258,              0.0004258
                     60,                0.67692,                 0.3988,                0.97566,                0.98739,                  0.985,                 0.9903,                0.73051,                0.99156,                0.41447,                 1.1008,              0.0004159,              0.0004159,              0.0004159
                     61,                0.68508,                0.39274,                0.97556,                0.97715,                0.99305,                0.98962,                0.74334,                 0.9574,                0.40124,                 1.0956,               0.000406,               0.000406,               0.000406
                     62,                0.67429,                0.37871,                0.97451,                0.98527,                0.98726,                0.98919,                0.74576,                0.95363,                0.39854,                 1.1006,              0.0003961,              0.0003961,              0.0003961
                     63,                0.67547,                0.37508,                0.96767,                0.98458,                0.98665,                0.98707,                0.74091,                0.95886,                0.38873,                 1.0902,              0.0003862,              0.0003862,              0.0003862
                     64,                0.64713,                0.37925,                0.96492,                0.98377,                0.99046,                0.98513,                0.73953,                0.95857,                0.40757,                 1.0869,              0.0003763,              0.0003763,              0.0003763
                     65,                0.64503,                0.37142,                0.96217,                 0.9848,                0.98814,                0.98735,                0.73795,                0.97543,                0.39407,                 1.0878,              0.0003664,              0.0003664,              0.0003664
                     66,                0.66358,                0.37503,                  0.965,                0.98428,                0.99095,                0.98905,                0.74062,                0.96525,                0.39647,                 1.0979,              0.0003565,              0.0003565,              0.0003565
                     67,                0.64191,                0.36289,                0.96063,                0.98564,                0.98712,                0.99125,                0.74937,                0.96131,                0.39453,                 1.0942,              0.0003466,              0.0003466,              0.0003466
                     68,                0.64767,                 0.3701,                0.96704,                0.98587,                0.98969,                0.98486,                0.74073,                0.94265,                0.41286,                 1.0889,              0.0003367,              0.0003367,              0.0003367
                     69,                0.63898,                 0.3704,                0.96349,                0.98519,                 0.9904,                0.98993,                0.75116,                0.95979,                0.40169,                 1.0963,              0.0003268,              0.0003268,              0.0003268
                     70,                0.64071,                0.36384,                0.95845,                0.98491,                0.99086,                0.99047,                0.75081,                0.93817,                0.38627,                 1.0853,              0.0003169,              0.0003169,              0.0003169
                     71,                0.63617,                0.36109,                0.95511,                  0.982,                 0.9864,                0.98964,                 0.7518,                0.94355,                0.39913,                  1.083,               0.000307,               0.000307,               0.000307
                     72,                0.63788,                0.36245,                0.95682,                0.98371,                0.98628,                  0.989,                 0.7525,                0.94878,                0.39111,                 1.0857,              0.0002971,              0.0002971,              0.0002971
                     73,                0.63267,                0.35937,                0.95278,                0.98339,                0.99227,                0.98944,                0.75379,                0.94146,                0.38426,                 1.0824,              0.0002872,              0.0002872,              0.0002872
                     74,                0.61534,                0.35283,                0.95297,                0.98457,                0.98835,                0.98951,                0.75031,                0.94683,                0.38465,                 1.0861,              0.0002773,              0.0002773,              0.0002773
                     75,                0.61253,                0.34821,                0.95321,                0.98398,                0.99307,                0.99074,                0.74845,                0.95931,                0.37517,                 1.0933,              0.0002674,              0.0002674,              0.0002674
                     76,                0.61249,                0.35077,                0.95157,                0.98293,                0.99064,                0.98864,                0.75102,                0.94465,                0.37876,                 1.0863,              0.0002575,              0.0002575,              0.0002575
                     77,                0.60262,                0.35379,                0.94562,                0.98244,                0.99186,                0.98872,                0.75286,                0.94807,                0.37784,                 1.0817,              0.0002476,              0.0002476,              0.0002476
                     78,                0.59966,                0.34367,                0.94366,                0.98615,                0.98993,                0.98998,                0.74802,                0.96762,                 0.3776,                 1.0941,              0.0002377,              0.0002377,              0.0002377
                     79,                 0.5991,                0.34052,                0.94359,                 0.9851,                0.98957,                0.99098,                0.75047,                 0.9498,                0.37874,                 1.0906,              0.0002278,              0.0002278,              0.0002278
                     80,                0.59126,                0.34042,                0.93779,                0.98569,                 0.9868,                0.98804,                0.74601,                0.96328,                0.37917,                 1.1005,              0.0002179,              0.0002179,              0.0002179
                     81,                0.59857,                0.33933,                0.94116,                0.98603,                0.98683,                0.99038,                0.74908,                0.96664,                0.37938,                 1.1014,               0.000208,               0.000208,               0.000208
                     82,                0.59188,                0.34114,                0.93501,                 0.9846,                0.99053,                0.98906,                0.74467,                0.96701,                0.39211,                 1.0968,              0.0001981,              0.0001981,              0.0001981
                     83,                0.58903,                0.33419,                0.94133,                 0.9852,                0.99011,                0.98921,                0.74752,                0.95403,                0.38314,                 1.0997,              0.0001882,              0.0001882,              0.0001882
                     84,                0.59398,                0.33615,                0.92926,                0.98541,                0.99305,                0.98654,                0.74712,                0.97356,                0.37353,                 1.1062,              0.0001783,              0.0001783,              0.0001783
                     85,                0.56668,                0.32896,                0.93364,                0.98515,                0.99278,                0.98852,                0.74721,                0.97742,                0.37599,                 1.1082,              0.0001684,              0.0001684,              0.0001684
                     86,                0.57946,                0.32165,                0.93531,                0.98475,                0.99007,                0.98812,                0.74939,                 0.9762,                0.37809,                 1.1001,              0.0001585,              0.0001585,              0.0001585
                     87,                0.56449,                0.32317,                0.93004,                0.98211,                0.99463,                0.99005,                0.75194,                0.95351,                0.36691,                 1.0911,              0.0001486,              0.0001486,              0.0001486
                     88,                 0.5647,                0.31786,                0.93353,                0.98519,                 0.9899,                0.98985,                0.75428,                0.94892,                0.37101,                 1.0917,              0.0001387,              0.0001387,              0.0001387
                     89,                0.55142,                0.31816,                0.93051,                0.98612,                0.98652,                0.98759,                0.75428,                0.94618,                0.36487,                 1.0964,              0.0001288,              0.0001288,              0.0001288
                     90,                0.55606,                0.31776,                0.92975,                0.98399,                0.98989,                 0.9894,                0.75108,                0.95876,                0.37043,                 1.0942,              0.0001189,              0.0001189,              0.0001189
                     91,                0.59488,                0.30448,                0.92567,                0.98547,                0.98783,                 0.9879,                0.74169,                0.95434,                0.37007,                 1.0938,               0.000109,               0.000109,               0.000109
                     92,                0.58205,                0.28978,                0.91676,                0.98465,                  0.988,                 0.9898,                0.75461,                0.95835,                 0.3674,                 1.0971,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.57528,                0.28741,                0.91709,                0.98318,                0.99192,                0.98885,                0.75541,                0.96147,                0.37052,                  1.096,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.56055,                0.28451,                 0.9124,                0.98673,                0.98711,                0.98828,                 0.7488,                0.96102,                0.37425,                 1.0938,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.56185,                0.27923,                0.91088,                0.98812,                0.98587,                0.98896,                0.75137,                0.96514,                0.36729,                 1.0966,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.55548,                0.28372,                0.90568,                0.98448,                0.99141,                 0.9881,                0.75582,                0.95781,                0.36163,                 1.0962,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.54732,                0.27156,                0.89923,                0.98509,                0.99008,                0.98948,                0.75319,                0.96492,                 0.3722,                  1.103,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.54091,                0.27114,                0.90497,                0.98751,                0.98883,                0.98988,                  0.761,                0.95629,                0.36415,                 1.0971,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.54027,                0.27008,                0.90925,                0.98923,                0.98954,                0.98972,                0.75841,                0.96038,                0.36541,                 1.0982,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.53518,                0.27064,                0.89498,                0.98919,                0.98979,                0.98974,                0.75743,                0.96112,                0.36773,                  1.101,               1.99e-05,               1.99e-05,               1.99e-05
